"Statistic Label","Year","Hazardousness","Waste Category","Waste Management Operation","UNIT","VALUE"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, non-ferrous[W062]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, non-ferrous[W062]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, mixed ferrous and non-ferrous[W063]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, mixed ferrous and non-ferrous[W063]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, mixed ferrous and non-ferrous[W063]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, mixed ferrous and non-ferrous[W063]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, mixed ferrous and non-ferrous[W063]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, mixed ferrous and non-ferrous[W063]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, mixed ferrous and non-ferrous[W063]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, mixed ferrous and non-ferrous[W063]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, mixed ferrous and non-ferrous[W063]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Glass wastes[W071]","All Waste treatment[TRT]","Tonnes","3124"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Glass wastes[W071]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Glass wastes[W071]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Glass wastes[W071]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Glass wastes[W071]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Glass wastes[W071]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Glass wastes[W071]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes","3124"
